textID,selected_text
f87dea47db,itpic.com
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).
eee518ae67," recession hit veronique branquinho, she has to quit her"
01082688c6, happy bday!
33987a8ee5, http://twitpic.com/4w75
726e501993, that`s great!! weee!! visitors!
261932614e, on here
afa11da83f, school and
e64208b4ef, and within a short time of the last clue all of them
37bcad24ca, leaving soon to my
24c92644a4,...should have
43b390b336, I checked.  We didn`t win
69d6b5d93e, tavern bore you that
5c1e0b61a1," for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so"
504e45d9d9,`s how loose
ae93ad52a0," so hot today =_= don`t like it and i hate my new timetable, having such"
9fce30159a, Miss you
00d5195223,Cramps . . .
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.
f7718b3c23,`m not all
9ef44428d0,Stupid storm. No river for us tonight
be634ebeb0, me than you do
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus"
f0ef04109b, go to sleep
8be365118e, you are lame  go make me breakfast!!
c50bdd4567, thats so cool
334954f215, dont you just hate
b783916431,"Huh, another ScarePoint coding Sunday"
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009
be38b29042, fan doesnt swing our
95701e8ed9, guess that depends on if you
4dd58ecd2c, ds alone.
cf553cccd5," me, sorry i am not going to camden and i like pop-"
55c69c2d52, did he ask for your Twitter ID? Your sun sign?
9b1a52cc02, where`d you go!
cce5c4744a,Watching Body of Lies...good film
c7f9d559e2,Happy mothers day mumm  xoxo
3d2478db59, need to put the laptop down & start getting ready for sh
6d846d7d50, least it`
599f51af6b,"`m printing out, i use"
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much
6506dc55ff, something when i
746d87f93e, me with petrol
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.
d3d7b13278," children should be running about happy, not"
ddc07db84e,  Hope ur havin fun in da club
67afe60d31, until i dropped it i want
17d18ba9ef,thinks SG is wonderful
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt
f0acd25d8e,Not happy
cf3b068b03, for a good
d6c34fa875, I`ll oscillate from one to the other.
614aed9113,`m so very tired...and have
dfa577d3c1, Thanks Ennio
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you
a0bfb12773," You seem nice, you`re generous and you know your stuff"
71f4a9b495, longshot and
d33ed264b3, almost got a kitty yesterday...but it didn`t work
77f88ea9e2, im going
fe1deac869,ay! i got a lil
e591a725ef, i still dont know what we would do though
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?"
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.
7d87899024," dear rain, you suck. now i gotta change my"
461b51fa58, have work
c31d79c440,aks .. i need
32ee7ef6c2, diy shops...life cant get much
29f805a7d2,Terminator Salvation... by myself.
d41fe360e4, u. what u up
a04c8c8695, enter my
25e42b2bf2, i wont be able to be with you! i
5843d17b1d, kiss and appearances like in dawson`
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.
38e69da3a1, plans? i
972dc5787d,_LaMont yr very young looking dude
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet"
7a81537034, **** you at&
311d2b185b, ways in the hallways
1e46d72ec6, they were all
390f169584, im a lady and ladies don`t move couches. they direct where the cou
58129e4130,`re the bomb
e6c9e5e3ab, 26th February
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky
a14b4ff440, have the best
5d57a5eda2, Thank you!  I`m working on `s
1e3561e921, /2 hrs an iont how i woulda
c2ea5cb58b,Not feeling all that well today
cde0016d6d,"wp8s - my ear hurts, and"
5fc411e8d1,_berland LMAO I know I know
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>
76da985a47, the underwire in my
3a98aa4762,Happy Mothers Day!!!
886545bbab,"Yes, I am"
2afe118dc3, I can`t call Mitch!  Im from sweden!
704c53f4cf,Happy star wars day! May the fourth be with you
71fa60d9ff,termelon i bought the other day and it was terrible and not
c238c4dbb7,i just watched Marley & Me...i cried so hard!
dc73e85417, hands when you cant
af63915fa9, decide if
eb2fc4d281, 10:50..i hope
